Compound	CMap_Score	a_score	b_score
DB02656	0.27006061800798387	0.12990269358610007	-0.1401579244218838
DB04430	0.25923927016942255	0.1312817943368434	-0.12795747583257916
DB02774	0.2580144269101626	0.12907090718928477	-0.1289435197208778
DB03423	0.25626497191955233	0.0835997349673363	-0.17266523695221603
DB07046	0.24708757602720205	0.1017013563758426	-0.14538621965135945
DB07867	0.2463155149423435	0.06547237691587404	-0.18084313802646945
DB08202	0.244777826933365	0.1129165092350741	-0.1318613176982909
DB16276	0.24221452860874276	0.11727093018798695	-0.12494359842075581
DB04336	0.23600770927704742	0.06993850585097935	-0.16606920342606807
DB08427	0.2357350071956903	0.0661672662756887	-0.1695677409200016
DB00222	0.23481167170129397	0.13005328032680058	-0.10475839137449339
DB12270	0.2346434761812527	0.09298238408927878	-0.14166109209197392
DB08029	0.22909879279735662	0.13330759669037723	-0.09579119610697939
DB08496	0.2276172707773727	0.09676101610456744	-0.13085625467280526
DB08698	0.2275311338882311	0.1610002245111407	-0.06653090937709039
DB08205	0.22541195820450682	0.06152700430951874	-0.16388495389498808
DB04274	0.22515356982264634	0.0852487966750447	-0.13990477314760164
DB11056	0.22211156802884946	0.06030232341651198	-0.16180924461233748
DB15952	0.22183807958544266	0.09588843439072603	-0.12594964519471663
DB17640	0.22083638804744965	0.07472908076377593	-0.14610730728367372
DB11889	0.21987967196158936	0.10283459004813295	-0.11704508191345642
DB02075	0.2195260478131047	0.07349481707817906	-0.14603123073492563
DB13774	0.21938078095493513	0.14723988193999527	-0.07214089901493986
DB02018	0.2192017164468864	0.09147542150597693	-0.12772629494090948
DB03367	0.21834673396142973	0.13231235523138335	-0.08603437873004638
DB16109	0.2179696813177059	0.07520383968809374	-0.14276584162961214
DB14633	0.21751882843643078	0.07197717652599123	-0.14554165191043955
DB06614	0.2154252174784534	0.09720127697556113	-0.11822394050289226
DB00507	0.214774711411495	0.14862418477814465	-0.06615052663335036
DB12474	0.21405091449130914	0.06682574102366134	-0.1472251734676478
DB02683	0.21384456608542102	0.09362689533947732	-0.1202176707459437
DB02401	0.21294096923356892	0.0943759959259442	-0.11856497330762472
DB01048	0.2124063512839096	0.12274325234504624	-0.08966309893886337
DB16256	0.21224947364681096	0.1464757226794583	-0.06577375096735266
DB18061	0.2122293816188921	0.12807101123103287	-0.08415837038785923
DB03291	0.2111782957197581	0.07364074931962172	-0.13753754640013638
DB13351	0.21069260095074038	0.08486658014773929	-0.1258260208030011
DB00594	0.2104151138403923	0.06111357525777711	-0.1493015385826152
DB12991	0.20964177292742026	0.10535787623412679	-0.10428389669329347
DB07270	0.2087107807499079	0.10790443491641066	-0.10080634583349724
DB02021	0.20805194624925683	0.10051774459393603	-0.1075342016553208
DB03487	0.20801478666284112	0.10982619552182415	-0.09818859114101697
DB13752	0.20740803352563875	0.09727739172813343	-0.11013064179750531
DB02862	0.20668402011711506	0.14142476960228667	-0.06525925051482839
DB14879	0.20581769109584747	0.10706114916848741	-0.09875654192736005
DB03380	0.20577435204085465	0.06038911613797027	-0.14538523590288438
DB06682	0.20561328153404151	0.05781818978310038	-0.14779509175094113
DB04391	0.20522807555748612	0.07241908016142895	-0.13280899539605717
DB03787	0.20517856976852422	0.09478723462509375	-0.11039133514343047
DB01022	0.20501234492908543	0.0490603387380284	-0.15595200619105704
DB09409	0.20464937357826063	0.04885116006549156	-0.15579821351276907
DB19419	0.204356353429691	0.0985833894611185	-0.1057729639685725
DB04977	0.20425569590367143	0.09785673998871969	-0.10639895591495174
DB19163	0.2036999607901417	0.09496656974356443	-0.10873339104657725
DB00426	0.20327004360457157	0.09120600813715984	-0.11206403546741173
DB06287	0.20314902025655912	0.04268915063602363	-0.1604598696205355
DB02100	0.20250170420892805	0.06420142482436109	-0.13830027938456696
DB13063	0.20225772185247282	0.046287352356545575	-0.15597036949592724
DB09251	0.20185507264648211	0.12013344723166813	-0.08172162541481398
DB02365	0.20176561202462823	0.10953296206856894	-0.09223264995605929
DB14184	0.20161889660478804	0.08284077779420551	-0.11877811881058253
DB12147	0.2014219399723684	0.05797370481713293	-0.14344823515523547
DB15665	0.2012663803672075	0.04095931967648492	-0.1603070606907226
DB13235	0.20080304757000111	0.0718175545808486	-0.12898549298915252
DB17219	0.20055119204209249	0.06126224543995973	-0.13928894660213276
DB13693	0.1996209766756738	0.1009552675241897	-0.0986657091514841
DB04121	0.19950652120178541	0.05605303938801548	-0.14345348181376993
DB08571	0.1992576201029541	0.09846045592189201	-0.1007971641810621
DB00162	0.19879376837046808	0.09698662242154432	-0.10180714594892376
DB18008	0.1984462281810001	0.05581155301474661	-0.1426346751662535
DB06844	0.1982457790823111	0.06735443738055735	-0.13089134170175376
DB01685	0.19789453312188793	0.07564902885241953	-0.1222455042694684
DB11739	0.19732408316870664	0.10679036682930032	-0.09053371633940632
