Compound	CMap_Score	a_score	b_score
BRD-K33622447	1.059173089474763	0.9737626031164069	-0.08541048635835619
BRD-K26667523	1.0373964123383892	0.9605866177818515	-0.07680979455653764
BRD-K04568635	1.0340269416280434	0.9393904674610449	-0.0946364741669985
BRD-K42898655	1.0261298919177473	0.9358386801099908	-0.0902912118077564
BRD-K21396683	1.0170055183918907	0.9359532538955087	-0.08105226449638198
BRD-K61314889	1.0061908133619544	0.9522227314390468	-0.053968081922907474
BRD-A58193911	1.0058485646761657	0.9270164986251146	-0.07883206605105103
BRD-A68631409	1.0042477715545983	0.9736480293308891	-0.0305997422237093
BRD-K84466663	1.0028027869999694	0.9761686526122824	-0.026634134387687025
BRD-K79612754	1.0026867405436866	0.9589825847846013	-0.04370415575908515
BRD-K23228615	0.989640939304758	0.9057057745187901	-0.08393516478596794
BRD-K01653460	0.9845543344824093	0.9317140238313474	-0.05284031065106187
BRD-K33743361	0.9834430571231317	0.9124656278643446	-0.07097742925878714
BRD-K93754473	0.9797251525097844	0.8919569202566453	-0.08776823225313912
BRD-K40255344	0.9779953534292023	0.9146425297891843	-0.06335282364001799
BRD-K69001009	0.9744939314183115	0.9312557286892759	-0.04323820272903567
BRD-K37687095	0.964055641035912	0.856897341888176	-0.107158299147736
BRD-K91623615	0.9506157531002665	0.9293079743354721	-0.021307778764794394
BRD-K00535541	0.9455963020648023	0.8414298808432631	-0.10416642122153916
BRD-K76064317	0.9427781992888767	0.9202566452795601	-0.022521554009316658
BRD-K82181219	0.9402755425908167	0.8901237396883593	-0.050151802902457354
BRD-K80700417	0.9400540529077589	0.8908111824014665	-0.04924287050629239
BRD-K68633617	0.9345598128176551	0.9065077910174152	-0.028052021800239885
BRD-K03243820	0.9291433297439438	0.9248395967002749	-0.004303733043668812
BRD-A70858459	0.9286284840444958	0.877749770852429	-0.05087871319206688
BRD-K53665955	0.9273033748901388	0.9051329055912007	-0.02217046929893803
BRD-K81528515	0.9234761981060277	0.863198900091659	-0.06027729801436865
BRD-K67578145	0.9230959545145018	0.8318056828597618	-0.09129027165474002
BRD-K96344439	0.9223130827358217	0.8887488542621448	-0.03356422847367689
BRD-K29254801	0.9220624341716169	0.8746562786434464	-0.04740615552817051
BRD-K60997853	0.9220170759120545	0.8000687442713107	-0.12194833164074376
BRD-K94455792	0.9195111793383114	0.8455545371219065	-0.07395664221640486
BRD-K74057757	0.909622195151261	0.83512832263978	-0.07449387251148099
BRD-A59303141	0.9086145938138404	0.8265352887259395	-0.08207930508790079
BRD-K52075715	0.9069669697619458	0.9002062328139322	-0.006760736948013546
BRD-K38305202	0.9028199288876742	0.8872593950504125	-0.015560533837261636
BRD-K19761926	0.9006606990120147	0.7816223648029331	-0.11903833420908155
BRD-A83937277	0.8951649862511458	0.8880614115490376	-0.007103574702108158
BRD-K87700323	0.8951319984260095	0.8605637030247479	-0.03456829540126155
BRD-K49350383	0.894947914580383	0.7306370302474794	-0.16431088433290367
BRD-A00077618	0.8893505875367285	0.8779789184234648	-0.0113716691132637
BRD-K24715592	0.8880655350271796	0.879468377635197	-0.008597157391982524
BRD-K14880289	0.887589862370081	0.8611365719523373	-0.02645329041774369
BRD-K54247840	0.8870461523236388	0.8211503208065994	-0.06589583151703937
BRD-K74514084	0.8861434051446869	0.8680109990834097	-0.018132406061277244
BRD-K97440753	0.8860842037799335	0.7416361136571952	-0.1444480901227383
BRD-K52256627	0.8832216263469047	0.8123281393217232	-0.0708934870251815
BRD-K09877029	0.8830254666010051	0.8141613198900092	-0.068864146710996
BRD-K64538373	0.8812514873974727	0.8800412465627865	-0.0012102408346862273
BRD-K39484304	0.8791959335436701	0.8703024747937672	-0.008893458749902883
BRD-K47337578	0.8779273749466894	0.8319202566452796	-0.0460071183014098
BRD-K34022604	0.8773692327267499	0.8117552703941338	-0.06561396233261618
BRD-K27799744	0.8771907450300307	0.7808203483043079	-0.09637039672572273
BRD-K84868168	0.8743125572868928	0.8692713107241063	-0.005041246562786435
BRD-K81839095	0.8709775470724483	0.77532080659945	-0.09565674047299833
BRD-K04264130	0.8707386798743635	0.8630843263061412	-0.007654353568222305
BRD-K48488978	0.8702468078388498	0.8363886342804766	-0.03385817355837317
BRD-K70914287	0.8697693679768331	0.8156507791017416	-0.05411858887509158
BRD-A14344385	0.8688769294932364	0.7810494958753438	-0.08782743361789258
BRD-K49294207	0.8644815963279838	0.7807057745187901	-0.08377582180919374
BRD-K20755323	0.8575379536709559	0.8218377635197067	-0.035700190151249145
BRD-K82928847	0.8558161070125048	0.8531164069660861	-0.0026997000464185823
BRD-K23984367	0.8509957610644701	0.7695921173235564	-0.08140364374091363
BRD-K92723993	0.8497651973732266	0.7488542621448213	-0.10091093522840533
BRD-K88429204	0.8496317734019165	0.8182859761686526	-0.03134579723326397
BRD-K56277358	0.8452865110426744	0.781736938588451	-0.06354957245422349
BRD-K19412355	0.8450067035973223	0.7102428964252978	-0.13476380717202446
BRD-A55962179	0.8447080459661781	0.7493125572868928	-0.09539548867928527
BRD-K66956375	0.8442297225017025	0.8422318973418882	-0.0019978251598142815
