Compound	CMap_Score	a_score	b_score
BRD-K13810148	0.3629972495230846	0.18264102101017404	-0.18035622851291055
BRD-K87036601	0.36226998173900826	0.1674854012401421	-0.19478458049886616
BRD-K75466013	0.3608606293407076	0.16868741596933756	-0.19217321337137006
BRD-A01643550	0.33069652639816993	0.07582124295145787	-0.25487528344671206
BRD-K30431096	0.3302392895496766	0.1982591856801718	-0.13198010386950476
BRD-M29182745	0.3278738405629642	0.1252222422892461	-0.20265159827371812
BRD-K96233303	0.299669832725173	0.13333232998214034	-0.16633750274303266
BRD-A06352418	0.29903263998529284	0.13914675014548594	-0.1598858898398069
BRD-K99946902	0.29478687849675983	0.11019906487668812	-0.1845878136200717
BRD-K16277217	0.2916692721431517	0.07258142194931072	-0.21908785019384097
BRD-A14395271	0.2858273407374177	0.14155479300864882	-0.1442725477287689
BRD-K70358946	0.28568706576740494	0.11559709429494502	-0.1700899714724599
BRD-K67043667	0.2835463998140888	0.07810788032026969	-0.20543851949381908
BRD-K96123349	0.28145211457882235	0.1649097987277507	-0.11654231585107167
BRD-K40787673	0.2779191855636536	0.13573134268456644	-0.14218784287908715
BRD-K58262659	0.27406052343860754	0.1455732145365521	-0.12848730890205545
BRD-K16803204	0.2709253746222059	0.1486153753536813	-0.1223099992685246
BRD-K87990216	0.2680446238824772	0.16804828125940646	-0.09999634262307072
BRD-K58148589	0.2656855833969328	0.07580920273714203	-0.1898763806597908
BRD-K18250272	0.26365418562514925	0.1349547488611964	-0.12869943676395285
BRD-K49522529	0.2633217527185963	0.1271978407882327	-0.1361239119303636
BRD-A23072235	0.2590707155447582	0.07665904119760003	-0.18241167434715816
BRD-K68095457	0.2586054195205535	0.13689523006842857	-0.12171018945212492
BRD-K73838513	0.2582242755318895	0.17950655188329023	-0.07871772364859925
BRD-A80213327	0.25746755453537395	0.18506612084361762	-0.07240143369175633
BRD-K97714174	0.2573956692773218	0.032843697951156936	-0.2245519713261649
BRD-K83257731	0.2568493607358254	0.13453936146730083	-0.1223099992685246
BRD-K92000912	0.25486152782551785	0.06993357815102441	-0.18492794967449344
BRD-K58466253	0.25426456623185956	0.15137158108080984	-0.10289298515104972
BRD-K96344439	0.25270671785699717	0.20877430618265003	-0.043932411674347166
BRD-K51474575	0.2525420711628451	0.1724820901812052	-0.08005998098163991
BRD-K04264130	0.2513788958346684	0.1214396082916942	-0.12993928754297418
BRD-K82861010	0.24847704235371948	0.1342132723295808	-0.11426377002413868
BRD-K21680192	0.2451800626997397	0.1402755202375935	-0.1049045424621462
BRD-K38003476	0.2448991890980391	0.06392852126101178	-0.1809706678370273
BRD-K18163608	0.24483490988935308	0.1547829751369575	-0.09005193475239559
BRD-K13112821	0.24413819576741164	0.19948528083799894	-0.0446529149294127
BRD-K07220430	0.243555281090455	0.1726606866935565	-0.07089459439689849
BRD-K11973162	0.24279661812388864	0.21190275520237595	-0.030893862921512694
BRD-K83963101	0.24111422473642619	0.12856942186904263	-0.11254480286738355
BRD-K27799744	0.24093397754953158	0.026011879678124933	-0.21492209787140665
BRD-K63932022	0.23731780275151265	0.14522505167258642	-0.09209275107892623
BRD-K88172511	0.23629493475951624	0.12269680733650395	-0.11359812742301229
BRD-K79254416	0.23596276078230322	0.18516545261172312	-0.05079730817058009
BRD-K42436189	0.23556054641858648	0.08864005779302875	-0.14692048862555773
BRD-K63123526	0.23541392767974068	0.12906106395360506	-0.10635286372613562
BRD-K61717546	0.23267377557169971	0.16702385969136913	-0.06564991588033059
BRD-K03549949	0.23253039344960555	0.012418477715570003	-0.22011191573403555
BRD-K28307902	0.2299319727891157	0.11984126984126986	-0.11009070294784584
BRD-K28383148	0.22971162392066924	0.1300042140750105	-0.09970740984565873
BRD-K91543828	0.22918897504762675	0.10574518893102958	-0.12344378611659718
BRD-K63126190	0.22840626401859632	0.06010474986454761	-0.1683015141540487
BRD-K39987650	0.22594789176494656	0.1337527341320009	-0.09219515763294567
BRD-K68997413	0.2253874715744133	0.2166024521903156	-0.008785019384097703
BRD-K19615002	0.22499085655767687	0.007369614512471645	-0.21762124204520522
BRD-K33818169	0.22449465084349474	0.08937651756867937	-0.13511813327481537
BRD-A67097164	0.2221866518041225	0.08571528906547865	-0.13647136273864385
BRD-K82967180	0.22179045754756369	0.04486484859430495	-0.17692560895325873
BRD-K37723606	0.22131079094498207	0.08779824614211462	-0.13351254480286745
BRD-K99792991	0.21919498220831768	0.13822065699436115	-0.08097432521395653
BRD-K63504947	0.21783582973583382	0.11357132823630933	-0.10426450149952449
BRD-K34411947	0.2176914442625466	0.1775590472177072	-0.040132397044839396
BRD-K32405725	0.21761496300870714	0.09824915216824193	-0.11936581084046521
BRD-K88807631	0.21730411833588698	0.03799389962474664	-0.17931021871114033
BRD-K32744045	0.21701311412375396	0.12460217125198159	-0.09241094287177237
BRD-K67772619	0.21670307860512178	0.07882728312563964	-0.13787579547948214
BRD-K34022604	0.215739699629019	0.09365280035317963	-0.12208689927583938
BRD-K59647213	0.21534991387362817	0.08960929504545179	-0.1257406188281764
BRD-K07572174	0.2127056950861037	0.13463166977705537	-0.07807402530904833
BRD-K19687926	0.21265889360787607	0.004656552886641382	-0.2080023407212347
