Compound	CMap_Score	a_score	b_score
BRD-K29905972	0.600677884983288	0.2816089084190553	-0.3190689765642327
BRD-K53665955	0.5812852382811435	0.3495705582742435	-0.2317146800069001
BRD-A51571244	0.5757090457729628	0.31773694197543195	-0.25797210379753077
BRD-A11551002	0.5594285869927536	0.2595875362029362	-0.29984105078981743
BRD-A31521121	0.5273358919119431	0.2561919504643963	-0.2711439414475468
BRD-K37270826	0.5254882937895022	0.21449615499850194	-0.31099213879100035
BRD-A01643550	0.5203255248696175	0.26762708478977326	-0.25269844007984427
BRD-K36467523	0.5196831781022333	0.1840107859782283	-0.335672392124005
BRD-K24187789	0.5128203465365155	0.31686307799860186	-0.19595726853791373
BRD-K16551357	0.511768467226372	0.24440727054828726	-0.2673611966780848
BRD-K90374350	0.5102564717814893	0.2669779286926995	-0.2432785430887897
BRD-A36331462	0.5089442166741678	0.2854788774593029	-0.22346533921486483
BRD-K94455792	0.500271724679994	0.1380954758813543	-0.36217624879863974
BRD-K13044802	0.49430675187191714	0.3339159093178867	-0.1603908425540304
BRD-K44590731	0.4942616805944479	0.2901228403076001	-0.2041388402868478
BRD-K56751279	0.49149482296391317	0.1743233796065115	-0.31717144335740166
BRD-K18898553	0.4882185626218383	0.11038150404474179	-0.37783705857709654
BRD-K86930074	0.48322602694419325	0.24588035553780085	-0.2373456714063924
BRD-K02764365	0.4785593663302642	0.25419454708878464	-0.22436481924147955
BRD-K59058747	0.4785100797534634	0.21576949965045444	-0.26274058010300894
BRD-K36711084	0.47594555649084763	0.23129931089583539	-0.24464624559501225
BRD-K55703048	0.47258045060901344	0.29761310296614396	-0.17496734764286948
BRD-K61314889	0.47205678073050483	0.22503245780485365	-0.24702432292565119
BRD-A42746051	0.47178765008086887	0.2773644262458803	-0.19442322383498853
BRD-K71480163	0.4705759136499174	0.13282732447817835	-0.33774858917173906
BRD-K09397065	0.4683975766568396	0.2848297213622291	-0.1835678552946105
BRD-K31627533	0.46297248641700856	0.2949915110356537	-0.16798097538135487
BRD-K85014146	0.46239142361683055	0.13497453310696095	-0.3274168905098696
BRD-K83029223	0.46068098484956566	0.2731948466992909	-0.1874861381502748
BRD-K18961567	0.45830128624995314	0.1829371816638371	-0.27536410458611604
BRD-K28392481	0.4573275521043423	0.20852891241386196	-0.24879863969048033
BRD-K12502280	0.45506977293155265	0.21352242085289125	-0.2415473520786614
BRD-K31491153	0.4540169208600249	0.31271846599420755	-0.14129845486581732
BRD-K33277808	0.4518846279058004	0.19502147208628784	-0.2568631558195126
BRD-A11815689	0.4516576502494808	0.22498252272046337	-0.22667512752901742
BRD-K99545815	0.4500214656012119	0.16161490062918205	-0.2884065649720299
BRD-K26305185	0.44982237377124024	0.18565864376310792	-0.2641637300081323
BRD-K81330143	0.44920369753087225	0.24523119944072713	-0.20397249809014512
BRD-A36456202	0.4488019470791867	0.304429241985419	-0.1443727050937677
BRD-K26838195	0.44738203971201074	0.243009088185359	-0.20437295152665175
BRD-K72827473	0.44680227392701166	0.1461849595525816	-0.30061731437443007
BRD-A64064900	0.44573872148025745	0.05765005492859282	-0.38808866655166463
BRD-K58299615	0.4453891758895255	0.2712473784080695	-0.17414179748145597
BRD-K68502831	0.4422033823561837	0.2507989613502447	-0.19140442100593902
BRD-K04701033	0.44053606934361955	0.19831718765604714	-0.2422188816875724
BRD-K31309378	0.43882498206876513	0.24161090582243083	-0.1972140762463343
BRD-K53414658	0.43813140320181176	0.1734994507140718	-0.26463195248773996
BRD-K81548480	0.43770176692377827	0.18216318785578745	-0.2555385790679908
BRD-K21718444	0.43654385662275413	0.1850344552082293	-0.2515094014145248
BRD-K96233303	0.435141783214289	0.23030060920802953	-0.20484117400625945
BRD-K41312087	0.4344893845792677	0.11554978527913712	-0.3189395993001306
BRD-K17026858	0.4306910756276582	0.11292819334864679	-0.3177628822790114
BRD-K33379087	0.42918199846692806	0.18173873963846998	-0.24744325882845808
BRD-K76180386	0.42069789792749945	0.1461100569259962	-0.27458784100150324
BRD-K88506063	0.41948291895860057	0.2328223309697393	-0.18666058798886126
BRD-K05524748	0.4184093146442093	0.23127434335364025	-0.187134971290569
BRD-K33813875	0.41738402414523457	0.17035354039748327	-0.2470304837477513
BRD-K69195780	0.4173733237700081	0.14675921302307	-0.2706141107469381
BRD-K51471001	0.4170344785545025	0.21364725856386696	-0.20338721999063555
BRD-K95926480	0.41547416929420333	0.0669379806251873	-0.34853618866901603
BRD-K44827188	0.41428545488267843	0.255293118945371	-0.15899233593730744
BRD-K53561341	0.41416353545585544	0.26061120543293714	-0.1535523300229183
BRD-K17203476	0.4132698919975461	0.12633576350744036	-0.28693412849010574
BRD-K33882852	0.4130639908378848	0.23334664935583743	-0.17971734148204735
BRD-K39160765	0.41278610533579074	0.2143213822031359	-0.1984647231326548
BRD-K11244467	0.41241645600978466	0.21289823229801258	-0.19951822371177208
BRD-A47706533	0.41075303404275737	0.1298811544991511	-0.28087187954360626
BRD-K54847683	0.4091003124509566	0.1079346849096175	-0.30116562754133913
BRD-K52075715	0.40736912144082815	0.07994607010885846	-0.3274230513319697
BRD-A28970875	0.4069518068069951	0.23187356436632378	-0.17507824244067133
BRD-A44090213	0.4052624445363884	0.2331968441026665	-0.17206560043372188
BRD-K49294207	0.40433507868342583	0.24338360131828624	-0.1609514773651396
BRD-K08586861	0.4039534319670144	0.25337061819634477	-0.15058281377066962
BRD-K04623885	0.40209707899211544	0.259387795865375	-0.14270928312674042
BRD-K49962337	0.39950661542592036	0.2055577748926396	-0.19394884053328074
BRD-A83937277	0.3990166679420649	0.1977179666433636	-0.2012987012987013
BRD-K03765900	0.39774948411221256	0.24910116848097474	-0.14864831563123782
BRD-K26657438	0.39760065162042596	0.16838110456406674	-0.22921954705635922
BRD-K72951360	0.3961463733510074	0.28173374613003094	-0.11441262722097645
BRD-K90574421	0.3960711464706272	0.19244981524018778	-0.2036213312304394
BRD-A26503646	0.39586297553440264	0.10905822430839907	-0.2868047512260036
BRD-K26823213	0.39581920127211245	0.24420753021072605	-0.15161167106138643
BRD-K94485812	0.3955643377894452	0.20418456007190655	-0.19137977771753867
BRD-K48195008	0.3945062976572016	0.18723159892140218	-0.2072746987357994
BRD-K87124298	0.3943133666493298	0.26203435533806047	-0.13227901131126937
BRD-K30577245	0.39294793391967064	0.1753969839209028	-0.21755094999876787
BRD-K66030860	0.39272160477094065	0.1299810246679317	-0.26274058010300894
BRD-A83650191	0.3922566248292804	0.20755517826825132	-0.1847014465610291
BRD-K12867552	0.39164443366480717	0.2714221512034355	-0.12022228246137168
BRD-K36386086	0.39076959692659274	0.1243633276740237	-0.26640626925256905
BRD-K09426783	0.39066194466673837	0.11322780385498848	-0.2774341408117499
BRD-K36234266	0.390421024097245	0.15350044941575947	-0.23692057468148553
BRD-K73753850	0.3899502075872794	0.09115649655447916	-0.2987937110328002
BRD-K07881437	0.3884022199711803	0.21484570058923397	-0.17355651938194633
BRD-K61097567	0.38775630641205394	0.20258663737141716	-0.1851696690406368
BRD-A14240607	0.3853860111724887	0.05565265155298116	-0.32973335961950756
BRD-K59197931	0.38519243165702766	0.14606012184160588	-0.23913230981542177
BRD-K12040459	0.38510423462485777	0.07902227104763804	-0.30608196357721973
BRD-K16136380	0.3845277113778062	0.15559772296015179	-0.22892998841765444
BRD-A27376179	0.3837381533876091	0.1697543193847998	-0.2139838340028093
BRD-K67578145	0.3831139648327305	0.14968041545990218	-0.23343354937282834
BRD-K68103045	0.3827910080531673	0.21447118745630678	-0.16831982059686051
BRD-K38197229	0.38243205910238764	0.16548486966942977	-0.21694718943295788
BRD-K17610631	0.38177544516803485	0.3042045341056626	-0.07757091106237224
BRD-K61936403	0.38121643162589924	0.13402576650354536	-0.24719066512235388
BRD-K97010173	0.38114606855244026	0.1698791570957755	-0.21126691145666476
BRD-A09349126	0.38064833897751105	0.21457105762508738	-0.16607728135242367
BRD-A43671941	0.38062337143531594	0.11492559672425845	-0.2656977747110575
BRD-K04548931	0.38015839149365566	0.2176420653150904	-0.16251632617856526
BRD-K36529613	0.3797401040984383	0.2029861180465395	-0.17675398605189876
BRD-K19412355	0.37878128562738567	0.2069559572555677	-0.17182532837181796
BRD-K55044200	0.37859873074094597	0.12458803555378017	-0.2540106951871658
BRD-K71281111	0.3742621604900643	0.27217117746929	-0.1020909830207743
BRD-K29458283	0.3734307737603453	0.2570158793568361	-0.11641489440350916
BRD-K67043667	0.3733296065763857	0.20985219215020467	-0.16347741442618102
BRD-K11433652	0.37269374488489637	0.11013182862279036	-0.262561916262106
BRD-K89121095	0.3712615158735203	0.20288624787775889	-0.1683752679957614
BRD-K10705233	0.37077999898832814	0.09892140217716971	-0.2718585968111584
BRD-K92150287	0.3693925170006265	0.3118196344751823	-0.05757288252544418
BRD-A25569250	0.36924919682335033	0.20638170378507936	-0.16286749303827097
BRD-K82846253	0.3688691713759126	0.25112353939878157	-0.117745631977131
BRD-K40438880	0.36885133741720183	0.10648656746229901	-0.2623647699549028
BRD-A28467416	0.3687936202417378	0.17936682312993113	-0.18942679711180666
BRD-K92093830	0.3681324667542584	0.21005193248776588	-0.15808053426649255
BRD-K28824103	0.36793369917808144	0.1401927494257465	-0.22774094975233494
BRD-K22025381	0.3678876551392281	0.18882952162189154	-0.17905813351733657
BRD-K84011460	0.3677479017536942	0.15767002896234888	-0.2100778727913453
BRD-K72703948	0.366962234809034	0.23616798162388897	-0.13079425318514504
BRD-K99749624	0.36618272868647395	0.05612703485468895	-0.310055693831785
BRD-K79259477	0.36602838388017656	0.20031459103165883	-0.16571379284851773
BRD-A50157456	0.3659307834879592	0.1439378807550185	-0.2219929027329407
BRD-K75649340	0.36550860504720484	0.15507340457405372	-0.21043520047315115
BRD-K25837718	0.365009254203302	0.16263856985918312	-0.2023706843441189
BRD-K18787491	0.3648095138657408	0.23217317487266553	-0.13263633899307523
BRD-K39171998	0.36446710185849307	0.23853989813242787	-0.1259272037260652
BRD-K13566078	0.362612370152568	0.1872815340057925	-0.17533083614677544
BRD-A14344385	0.36204362899659015	0.1173973834015779	-0.24464624559501225
BRD-K17705806	0.3618669106784556	0.2702986118046539	-0.09156829887380169
BRD-K50018155	0.36109161985522725	0.25139818236292827	-0.10969343749229898
BRD-K82861010	0.3600196368098096	0.2850793967841806	-0.07494024002562899
BRD-K42436189	0.3599252789555397	0.09754818735643667	-0.26237709159910305
BRD-K48488978	0.35985588864346474	0.2160191750724058	-0.14383671357105893
BRD-K22385716	0.35932865197321406	0.13082992110256664	-0.22849873087064743
BRD-A93236127	0.3587634776089785	0.10249176071107563	-0.25627171689790285
BRD-K72231366	0.3586285880303657	0.1893538400079896	-0.16927474802237608
BRD-A69815203	0.3582190554876063	0.14406271846599417	-0.21415633702161213
BRD-A00758722	0.3579849442478025	0.16920503345650653	-0.18877991079129597
BRD-K26712974	0.35642041968817173	0.11847098771596931	-0.2379494319722024
BRD-K79821389	0.3559677613907115	0.32887246579446716	-0.027095295596244365
BRD-K51967704	0.35445576594582895	0.15504843703185867	-0.19940732891397028
BRD-K32730239	0.3538130949246499	0.21182462798362128	-0.14198846694102862
BRD-A06352508	0.3529149119132141	0.13317687006891044	-0.21973804184430368
BRD-K26818574	0.3525410472878764	0.18645760511335263	-0.16608344217452375
BRD-K13662825	0.35171873966441025	0.10701088584839702	-0.2447078538160132
BRD-K67868012	0.3516765866710938	0.2337461300309598	-0.11793045664013405
BRD-A24587114	0.3512372227792182	0.13207829821232397	-0.2191589245668942
BRD-K51911221	0.35108903879502096	0.19609507640067908	-0.15499396239434188
BRD-K08542803	0.350553371526107	0.23312194147608112	-0.11743143005002588
BRD-K52172416	0.34991005199733854	0.20208728652751423	-0.1478227654698243
BRD-A97701745	0.3497080418832142	0.11110556276840111	-0.23860247911481308
BRD-A53951045	0.3496548642608764	0.26023669230000995	-0.08941817196086645
BRD-A64553394	0.3483075897437228	0.07015879356836108	-0.2781487961753617
BRD-K77554836	0.34830369869818584	0.25391990412463794	-0.0943837945735479
