Compound	CMap_Score	a_score	b_score
BRD-K06753942	0.5720900076277651	0.26910755148741416	-0.3029824561403509
BRD-K51747290	0.496559877955759	0.22164759725400457	-0.27491228070175444
BRD-A72716251	0.49345537757437075	0.2127536231884058	-0.28070175438596495
BRD-K06519765	0.4876887871853547	0.19540808543096877	-0.2922807017543859
BRD-K39171998	0.48749046529366896	0.16292906178489708	-0.3245614035087719
BRD-K92657060	0.4479862700228834	0.17517925247902372	-0.27280701754385966
BRD-K52256627	0.44639969488939735	0.18341723874904647	-0.2629824561403509
BRD-K03243820	0.44426392067124326	0.2658428680396643	-0.17842105263157898
BRD-K51544265	0.43432494279176204	0.2325705568268498	-0.20175438596491224
BRD-K72167406	0.4263539282990084	0.22652936689549963	-0.1998245614035088
BRD-A06352418	0.42263920671243316	0.25597254004576653	-0.16666666666666666
BRD-K68567222	0.4205339435545385	0.1707093821510297	-0.24982456140350878
BRD-K04833372	0.41717772692601074	0.18594965675057207	-0.23122807017543867
BRD-K66296774	0.4152936689549962	0.13511823035850498	-0.28017543859649124
BRD-K32405725	0.4143630816170862	0.10295957284515639	-0.3114035087719298
BRD-K31086665	0.41165522501906937	0.1972692601067887	-0.2143859649122807
BRD-A57798112	0.41105263157894734	0.21719298245614033	-0.193859649122807
BRD-K79315489	0.4084973302822273	0.1625324180015255	-0.24596491228070178
BRD-K49840922	0.4075209763539283	0.10576659038901604	-0.3017543859649123
BRD-A06426627	0.40363081617086205	0.18503432494279182	-0.21859649122807023
BRD-A91831168	0.40069412662090004	0.2720976353928299	-0.12859649122807015
BRD-K39558284	0.39630816170861943	0.1289397406559878	-0.26736842105263164
BRD-K06749501	0.38690312738367666	0.1954996186117468	-0.19140350877192985
BRD-K33818169	0.38558352402745993	0.10172387490465296	-0.283859649122807
BRD-K31627533	0.3837528604118993	0.25954233409610983	-0.1242105263157895
BRD-K47000838	0.3825934401220442	0.19662852784134244	-0.18596491228070178
BRD-K23403298	0.3759344012204424	0.1975133485888635	-0.17842105263157892
BRD-K79584249	0.3738672768878718	0.07070938215102973	-0.30315789473684207
BRD-K05638300	0.3730358504958046	0.17110602593440116	-0.20192982456140346
BRD-K47598052	0.3728451563691837	0.1356521739130434	-0.2371929824561403
BRD-K38287497	0.37270785659801686	0.1888482074752098	-0.18385964912280706
BRD-K23301018	0.37203661327231113	0.13835240274599542	-0.23368421052631572
BRD-K60025295	0.3719527078565981	0.14721586575133494	-0.22473684210526318
BRD-K18787491	0.3712662090007628	0.13249427917620138	-0.2387719298245614
BRD-K96123349	0.37012967200610214	0.13469107551487408	-0.23543859649122806
BRD-K64120610	0.3696414950419527	0.1384134248665141	-0.23122807017543862
BRD-A53134341	0.3685583524027459	0.18610221205186872	-0.18245614035087718
BRD-K58299615	0.3646071700991609	0.1863615560640732	-0.1782456140350877
BRD-K47978074	0.36041189931350115	0.1407627765064836	-0.21964912280701754
BRD-K60446698	0.35961861174675824	0.19119755911517933	-0.16842105263157892
BRD-K28453807	0.35912280701754384	0.19298245614035087	-0.16614035087719298
BRD-K90647725	0.35633104500381396	0.15264683447749816	-0.2036842105263158
BRD-K30933884	0.3524561403508771	0.17614035087719293	-0.17631578947368415
BRD-K81016934	0.3514950419527079	0.16781083142639214	-0.18368421052631578
BRD-K59866480	0.35002288329519454	0.23493516399694891	-0.11508771929824563
BRD-K98548675	0.3495728451563692	0.18132723112128152	-0.16824561403508773
BRD-A72703248	0.3480930587337909	0.28546147978642256	-0.06263157894736837
BRD-A67862938	0.3467505720823798	0.16446987032799387	-0.18228070175438593
BRD-K00535541	0.3450266971777269	0.15502669717772688	-0.19
BRD-K82861010	0.3448970251716247	0.17226544622425627	-0.1726315789473684
