Compound	CMap_Score	a_score	b_score
BRD-K92428153	1.0709750566893426	0.8692743764172336	-0.2017006802721089
BRD-K71106091	0.9935374149659864	0.6877551020408164	-0.30578231292517005
BRD-K90027355	0.9868480725623583	0.6502267573696145	-0.3366213151927438
BRD-K52762805	0.8907029478458051	0.7189342403628118	-0.17176870748299322
BRD-K09416995	0.844671201814059	0.4324263038548753	-0.4122448979591837
BRD-K25279140	0.8377551020408164	0.7688208616780046	-0.06893424036281182
BRD-K86687746	0.8049886621315192	0.6517006802721088	-0.1532879818594104
BRD-M80207679	0.8007936507936508	0.5193877551020408	-0.28140589569160995
BRD-K64800655	0.7993197278911566	0.6596371882086168	-0.13968253968253969
BRD-K26657438	0.7975056689342404	0.4468253968253968	-0.3506802721088435
BRD-A84174393	0.7896825396825397	0.7736961451247165	-0.015986394557823136
BRD-K47114202	0.7858276643990929	0.44784580498866217	-0.3379818594104308
BRD-K39252998	0.7763038548752835	0.607936507936508	-0.1683673469387755
BRD-K81458380	0.7726757369614513	0.46734693877551026	-0.30532879818594105
BRD-K82928847	0.7722222222222224	0.6273242630385488	-0.14489795918367349
BRD-K51313569	0.7648526077097506	0.5207482993197279	-0.24410430839002273
BRD-K38305202	0.7630385487528345	0.7310657596371882	-0.03197278911564627
BRD-K13087974	0.7472789115646258	0.5165532879818594	-0.2307256235827664
BRD-A20239487	0.7396825396825397	0.5922902494331066	-0.14739229024943312
BRD-K90382497	0.736734693877551	0.4806122448979592	-0.25612244897959185
BRD-A42746051	0.7343537414965986	0.5880952380952381	-0.14625850340136054
BRD-K97010173	0.7287981859410431	0.5087301587301587	-0.22006802721088436
BRD-K48141473	0.723015873015873	0.6064625850340136	-0.11655328798185938
BRD-K71847383	0.7192743764172336	0.4876417233560091	-0.23163265306122446
BRD-A27887842	0.7124716553287983	0.5444444444444445	-0.16802721088435377
BRD-K95581532	0.7091836734693877	0.556235827664399	-0.15294784580498866
BRD-K85402309	0.7082766439909297	0.4548752834467121	-0.25340136054421764
BRD-K35189033	0.7051020408163264	0.5439909297052153	-0.1611111111111111
BRD-K62607865	0.7002267573696146	0.5671201814058957	-0.13310657596371883
BRD-K87349682	0.7000000000000001	0.5069160997732427	-0.19308390022675734
BRD-K84810405	0.6995464852607709	0.46870748299319726	-0.2308390022675737
BRD-K69195780	0.6943310657596372	0.6638321995464853	-0.0304988662131519
BRD-K99498722	0.6901360544217687	0.3785714285714286	-0.31156462585034017
BRD-K50590187	0.6895691609977324	0.47619047619047616	-0.2133786848072562
BRD-K26756394	0.6891156462585034	0.44580498866213153	-0.24331065759637188
BRD-A22081593	0.6891156462585033	0.4975056689342403	-0.19160997732426305
BRD-K19333160	0.6884353741496598	0.5926303854875283	-0.0958049886621315
BRD-K07265709	0.6858276643990929	0.30419501133786847	-0.38163265306122446
BRD-K97746869	0.6856009070294784	0.4391156462585034	-0.24648526077097505
BRD-K89714990	0.6833333333333333	0.4709750566893424	-0.21235827664399093
BRD-K78177893	0.6833333333333333	0.5515873015873016	-0.13174603174603172
BRD-K27316855	0.6807256235827663	0.5382086167800453	-0.14251700680272109
BRD-K52662033	0.6785714285714285	0.3984126984126984	-0.2801587301587301
BRD-K95292280	0.6735827664399093	0.4493197278911565	-0.22426303854875282
BRD-K10799896	0.6725623582766439	0.4879818594104308	-0.18458049886621308
BRD-K63736853	0.6722222222222222	0.5269841269841269	-0.14523809523809525
BRD-K31086665	0.6693877551020408	0.46145124716553293	-0.20793650793650792
BRD-K58435339	0.6664399092970522	0.5122448979591837	-0.1541950113378685
BRD-K66527818	0.6646258503401361	0.38945578231292516	-0.2751700680272109
BRD-A81513827	0.6612244897959184	0.5441043083900228	-0.11712018140589564
BRD-K11510141	0.6604308390022676	0.3710884353741497	-0.2893424036281179
BRD-K42191735	0.6598639455782314	0.3708616780045352	-0.2890022675736962
BRD-K63068307	0.6563492063492065	0.46916099773242637	-0.1871882086167801
BRD-K93754473	0.6562358276643991	0.2816326530612245	-0.37460317460317466
BRD-K59983611	0.653514739229025	0.3003401360544218	-0.3531746031746032
